,lat,lon
245,-16.0005,-43.649
246,-16.0005,-43.349
247,-16.0005,-43.449
248,-16.0005,-43.749
249,-16.0005,-43.049
250,-16.0005,-43.249
251,-16.0005,-42.949
252,-16.0005,-43.149
253,-16.0005,-42.749
254,-16.0005,-42.549
255,-16.0005,-42.849
256,-16.0005,-42.449
257,-16.0005,-42.649
258,-16.0005,-42.149
259,-16.0005,-41.949
260,-16.0005,-42.349
261,-16.0005,-42.249
262,-16.0005,-42.049
263,-16.0005,-41.549
264,-16.0005,-41.649
265,-16.0005,-41.849
266,-16.0005,-41.749
267,-16.0005,-41.149
268,-16.0005,-41.449
269,-16.0005,-41.249
270,-16.0005,-41.349
271,-16.0005,-41.049
272,-16.0005,-40.749
273,-16.0005,-40.849
274,-16.0005,-40.949
275,-16.0005,-40.349
276,-16.0005,-40.549
277,-16.0005,-40.649
278,-16.0005,-40.449
279,-16.0005,-40.049
280,-16.0005,-40.249
281,-16.0005,-40.149
282,-16.0005,-39.949
283,-15.9005,-46.949
284,-15.9005,-47.149
285,-15.9005,-47.049
286,-15.9005,-46.549
287,-15.9005,-46.749
288,-15.9005,-46.649
289,-15.9005,-46.849
290,-15.9005,-46.449
291,-15.9005,-46.349
292,-15.9005,-46.249
293,-15.9005,-45.849
294,-15.9005,-46.049
295,-15.9005,-45.749
296,-15.9005,-46.149
297,-15.9005,-45.949
298,-15.9005,-45.349
299,-15.9005,-45.549
300,-15.9005,-45.649
301,-15.9005,-45.449
302,-15.9005,-45.049
303,-15.9005,-44.949
304,-15.9005,-45.149
305,-15.9005,-44.849
306,-15.9005,-45.249
307,-15.9005,-44.749
308,-15.9005,-44.449
309,-15.9005,-44.649
310,-15.9005,-44.549
311,-15.9005,-44.349
312,-15.9005,-44.249
313,-15.9005,-43.949
314,-15.9005,-44.149
315,-15.9005,-44.049
316,-15.9005,-43.849
317,-15.9005,-43.549
318,-15.9005,-43.649
319,-15.9005,-43.749
320,-15.9005,-43.249
321,-15.9005,-43.149
322,-15.9005,-43.349
323,-15.9005,-43.449
324,-15.9005,-43.049
325,-15.9005,-42.849
326,-15.9005,-42.649
327,-15.9005,-42.749
328,-15.9005,-42.949
329,-15.9005,-42.549
330,-15.9005,-42.249
331,-15.9005,-42.349
332,-15.9005,-42.449
333,-15.9005,-42.149
334,-15.9005,-41.949
335,-15.9005,-41.649
336,-15.9005,-41.749
337,-15.9005,-41.849
338,-15.9005,-42.049
339,-15.9005,-41.549
340,-15.9005,-41.249
341,-15.9005,-41.449
342,-15.9005,-41.349
343,-15.9005,-41.049
344,-15.9005,-40.749
345,-15.9005,-41.149
346,-15.9005,-40.949
347,-15.9005,-40.849
348,-15.9005,-40.649
349,-15.9005,-40.449
350,-15.9005,-40.349
351,-15.9005,-40.549
352,-15.9005,-40.249
353,-15.8005,-46.749
354,-15.8005,-46.849
355,-15.9005,-40.049
356,-15.9005,-40.149
357,-15.8005,-46.349
358,-15.8005,-46.549
359,-15.8005,-46.449
360,-15.8005,-46.649
361,-15.8005,-46.049
362,-15.8005,-46.149
363,-15.8005,-46.249
364,-15.8005,-45.849
365,-15.8005,-45.949
366,-15.8005,-45.649
367,-15.8005,-45.549
368,-15.8005,-45.449
369,-15.8005,-45.749
370,-15.8005,-45.049
371,-15.8005,-45.249
372,-15.8005,-45.149
373,-15.8005,-45.349
374,-15.8005,-44.949
375,-15.8005,-44.749
376,-15.8005,-44.849
377,-15.8005,-44.649
378,-15.8005,-44.349
379,-15.8005,-44.549
380,-15.8005,-44.449
381,-15.8005,-44.049
382,-15.8005,-44.149
383,-15.8005,-44.249
384,-15.8005,-43.949
385,-15.8005,-43.549
386,-15.8005,-43.649
387,-15.8005,-43.449
388,-15.8005,-43.749
389,-15.8005,-43.849
390,-15.8005,-43.149
391,-15.8005,-43.349
392,-15.8005,-43.249
393,-15.8005,-43.049
394,-15.8005,-42.949
395,-15.8005,-42.849
396,-15.8005,-42.649
397,-15.8005,-42.749
398,-15.8005,-42.249
399,-15.8005,-42.349
400,-15.8005,-42.149
401,-15.8005,-42.549
402,-15.8005,-42.049
403,-15.8005,-42.449
404,-15.8005,-41.749
405,-15.8005,-41.849
406,-15.8005,-41.649
407,-15.8005,-41.949
408,-15.8005,-41.349
409,-15.8005,-41.149
410,-15.8005,-41.449
411,-15.8005,-41.249
412,-15.8005,-41.549
413,-15.8005,-41.049
414,-15.8005,-40.949
